Brand;Model;Vechime;Tip de combustibil;Tip de transmisie;Capacitatea motorului;Putere motor;KM;Pãr?i înlocuite;Pãr?i vopsite;Pre?
Opel;Vectra;14;Benzinã;Manualã;1600;105;181500;0;0;105000
Renault;Clio;0;Benzinã;Automatã;1000;100;11500;0;0;178000
Opel;Vectra;24;Benzinã;Manualã;2500;170;343356;1;0;55000
BMW;3;6;Motorinã;Automatã;2000;184;193000;0;0;363000
Peugeot;307;12;Motorinã;Manualã;1600;112;255000;0;4;67000
Ford;Focus;19;Benzinã;Manualã;1600;100;272000;1;0;73000
Hyundai;Accent;22;Benzinã;Manualã;1300;75;184000;1;0;41500
Fiat;Egea;0;Benzinã;Manualã;1400;95;8000;0;0;130000
Volkswagen;Golf;7;Benzinã;Automatã;1200;105;92000;0;3;171000
Volkswagen;Passat;0;Benzinã;Automatã;1500;150;4500;0;0;432000
Toyota;Corolla;2;Motorinã;Automatã;1400;90;22000;0;0;232750
Dacia;Sandero;2;Motorinã;Manualã;1500;90;70000;0;0;143500
Skoda;Octavia;4;Motorinã;Manualã;1600;110;67000;0;0;233000
Renault;Symbol;12;Benzinã;Manualã;1400;75;123000;0;2;67750
Volkswagen;Polo;22;Benzinã;Automatã;1600;75;187000;0;0;52500
Volkswagen;Golf;6;Motorinã;Automatã;1600;105;168000;0;0;223000
Ford;Focus;20;Benzinã;Manualã;1600;100;290000;0;2;63000
Renault;Symbol;10;Benzinã;Manualã;1400;75;101000;0;0;88500
Volkswagen;Golf;20;Benzinã;Manualã;1600;101;302000;4;5;58000
Fiat;Egea;1;Benzinã;Manualã;1400;95;32000;0;0;127500
Volkswagen;Jetta;8;Benzinã;Automatã;1400;122;164000;0;2;162000
Volkswagen;Passat;6;Motorinã;Automatã;1600;105;247000;1;1;193000
Volkswagen;Golf;4;Benzinã;Manualã;1400;125;25000;0;0;237500
Hyundai;i10;10;Benzinã;Automatã;1100;66;57500;0;1;109000
Volvo;S40;9;Motorinã;Manualã;1600;109;203000;1;2;140000
Nissan;Primera;20;Benzinã;Manualã;1600;100;305000;2;0;55555
Peugeot;208;7;Motorinã;Manualã;1400;69;70000;1;1;115000
Seat;Ibiza;5;Benzinã;Manualã;1400;85;198000;0;4;94500
Toyota;Corolla;22;Benzinã;Manualã;1600;114;348000;1;3;63000
Opel;Astra;7;Motorinã;Manualã;1200;95;142000;0;1;131000
Fiat;Linea;4;Motorinã;Manualã;1200;95;99100;0;2;103500
BMW;3;12;Benzinã;Manualã;1600;122;236000;1;5;149000
Fiat;Egea;0;Benzinã;Manualã;1400;95;8300;0;0;147500
Volkswagen;Touran;16;Benzinã;Manualã;1600;115;149000;1;1;92500
Renault;Megane;22;Benzinã;Manualã;2000;115;261000;0;0;48500
Volkswagen;Polo;10;Benzinã;Manualã;1400;85;191000;1;1;100000
Audi;A3;3;Benzinã;Automatã;1000;116;51000;0;1;296000
Skoda;Octavia;15;Benzinã;Manualã;1600;102;191000;0;3;65000
BMW;3;6;Benzinã;Automatã;1600;170;123000;0;0;379500
Renault;Fluence;5;Motorinã;Manualã;1500;90;172000;0;0;125000
BMW;5;12;Motorinã;Automatã;2000;177;388000;0;2;160000
Hyundai;Accent;9;Benzinã;Manualã;1400;97;97500;0;3;94750
Chevrolet;Cruze;9;Benzinã;Manualã;1600;124;215000;3;5;69900
Audi;A3;6;Motorinã;Automatã;1600;110;42000;0;0;288000
Opel;Astra;3;Benzinã;Automatã;1400;140;76600;1;3;163000
Chevrolet;Cruze;9;Benzinã;Manualã;1600;124;209500;0;2;100000
Honda;Civic;2;Benzinã;Automatã;1600;125;17000;3;2;238000
Volkswagen;Jetta;9;Motorinã;Automatã;1600;105;193000;0;3;154000
Peugeot;206;13;Motorinã;Manualã;1400;71;380000;1;0;38750
Hyundai;Elantra;0;Benzinã;Manualã;1600;127;127000;0;0;180000
Fiat;Egea;4;Motorinã;Manualã;1200;95;134250;0;1;115000
Kia;Rio;4;Motorinã;Manualã;1400;90;97000;0;0;144500
Volkswagen;Polo;20;Benzinã;Manualã;1400;75;224000;0;0;67000
Renault;Clio;0;Benzinã;Manualã;900;90;3300;0;0;131000
Renault;Symbol;5;Benzinã;Manualã;1100;75;86500;1;4;87000
Renault;Megane;19;Benzinã;Manualã;1600;107;194800;0;0;60000
Volkswagen;Passat;6;Motorinã;Automatã;1600;105;233000;0;1;210000
Mercedes;CLS;14;Benzinã;Automatã;3500;272;215000;2;4;230000
Chevrolet;Cruze;9;Benzinã;Manualã;1600;113;209500;0;2;100000
Ford;Fiesta;14;Benzinã;Manualã;1400;80;229000;0;1;66000
Opel;Astra;5;Benzinã;Manualã;1600;115;52000;0;2;145000
BMW;3;28;Benzinã;Manualã;1800;113;300000;2;8;41000
Hyundai;Accent;15;Benzinã;Manualã;1300;86;171000;3;1;67000
Honda;Civic;11;Benzinã;Automatã;1600;125;225000;0;2;117000
Ford;Focus;8;Motorinã;Manualã;1600;95;154000;0;0;136500
Honda;Civic;16;Benzinã;Automatã;1600;110;250000;2;11;72000
Renault;Clio;7;Motorinã;Manualã;1500;75;106000;0;0;117000
Fiat;Albea;14;Motorinã;Manualã;1200;70;239000;0;0;47000
Renault;Clio;7;Motorinã;Manualã;1500;90;206000;0;1;121000
Volkswagen;Jetta;6;Motorinã;Automatã;1600;105;103000;3;1;158000
Dacia;Sandero;3;Benzinã;Manualã;900;90;52000;0;0;137500
Fiat;Tempra;27;Benzinã;Manualã;1600;90;180000;0;0;30500
Volkswagen;Golf;5;Motorinã;Automatã;1600;110;134000;1;2;193000
Peugeot;207;11;Benzinã;Automatã;1400;91;101000;1;3;97000
Renault;Fluence;7;Motorinã;Manualã;1500;90;138000;0;1;112500
Skoda;Octavia;6;Motorinã;Automatã;1600;105;138370;0;1;195000
Opel;Corsa;3;Benzinã;Automatã;1400;90;35700;0;0;155000
Fiat;Egea;5;Motorinã;Manualã;1600;120;81000;0;0;145000
Peugeot;301;7;Motorinã;Manualã;1600;93;249500;1;8;70000
Opel;Corsa;2;Benzinã;Automatã;1400;90;25000;0;0;157500
Citroen;C3;0;Benzinã;Manualã;1200;83;10000;0;0;142000
Volkswagen;Polo;13;Benzinã;Automatã;1400;80;240000;0;2;82000
Volkswagen;Polo;13;Benzinã;Automatã;1400;80;240000;0;2;82000
Peugeot;407;13;Motorinã;Automatã;2000;138;270000;0;5;80000
Opel;Astra;15;Benzinã;Automatã;1600;105;194000;1;2;85750
Opel;Corsa;17;Motorinã;Manualã;1700;75;313000;0;4;47500
Tofaþ;Þahin;25;Benzinã;Manualã;1600;88;90000;0;4;23000
Honda;Civic;10;Benzinã;Automatã;1600;125;132000;0;3;119500
Volkswagen;Passat;10;Benzinã;Automatã;1400;122;162000;0;1;170000
BMW;3;12;Benzinã;Manualã;1600;122;230000;0;2;160000
Skoda;Octavia;4;Motorinã;Automatã;1600;110;80000;0;0;235000
Volkswagen;Jetta;9;Motorinã;Automatã;1600;105;192000;3;3;124750
Tofaþ;Kartal;25;Benzinã;Manualã;1600;83;85000;0;0;36000
Toyota;Yaris;8;Benzinã;Manualã;1300;99;81700;0;0;116000
Volkswagen;Passat;5;Benzinã;Automatã;1400;125;64000;0;0;305000
Volkswagen;Passat;5;Benzinã;Automatã;1400;125;64000;0;0;305000
Seat;Ibiza;0;Benzinã;Manualã;1000;75;100;0;0;153000
Dacia;Logan;5;Benzinã;Manualã;1100;75;49001;0;1;100500
Renault;Clio;19;Benzinã;Automatã;1400;98;150000;0;2;72000
